facet,index,rank_within_facet,selected,selected_index_for_facet,group,relevance_mean,clarity_mean,decision_rule,wording_source,final_wording,question,edited_question,feedback,excel_row,clarity_response_count,relevance_response_count,clarity_std,relevance_std,clarity_ci,relevance_ci,clarity_median,relevance_median,clarity_rwg,relevance_rwg
F6,F6Q1,1,yes,F6Q1,group1,3.76,3.71,Selected by higher relevance mean,Edited Question,"Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually have, and how does it affect what you do? If it helps, you can share an example that shows what’s most typical for you.","Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious, while others stay calm. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually experience, and how does it usually affect your behavior? If it helps, you can share an example that shows what’s most typical for you.","Waiting to hear back about something important—like an application, a decision, or news—can make some people anxious. In general, if you are waiting for an outcome and aren’t sure what will happen, what thoughts and feelings do you usually have, and how does it affect what you do? If it helps, you can share an example that shows what’s most typical for you.","- question is a bit clunky. took me a couple rereads to understand
 - Share an example of... will force more info.
 - I think this is on track with worrying in a situation.
 - I would personally take out the part that says “while others stay calm” because that might subconsciously lead people to want to portray themselves as “normal” and avoid cognitive dissonance if they believe that their not an anxious person",13,21.0,21.0,0.55,0.53,"(3.48, 3.95)","(3.54, 3.99)",4.0,4.0,0.76,0.78
F6,F6Q3,2,no,F6Q1,group1,3.52,3.81,,Question,"In daily life, small things sometimes go wrong—like forgetting something, making a minor mistake, or getting critical feedback. In general, when that happens to you, what thoughts or worries do you usually have in the moment, and how long do they usually stay with you—do they pass quickly, or linger and affect you longer?
If it helps, you can share an example that shows what’s most typical for you.","In daily life, small things sometimes go wrong—like forgetting something, making a minor mistake, or getting critical feedback. In general, when that happens to you, what thoughts or worries do you usually have in the moment, and how long do they usually stay with you—do they pass quickly, or linger and affect you longer?
If it helps, you can share an example that shows what’s most typical for you.",,"- this question is also a bit clunky. took me a couple rereads to understand
 - Lends itself to pretty short answers.
 - It talks about worries so I think it's relevant.",14,21.0,21.0,0.5,0.73,"(3.60, 4.02)","(3.21, 3.84)",4.0,4.0,0.8,0.57
F7,F7Q2,1,yes,F7Q2,group2,3.6,3.65,Selected by higher relevance mean,Question,"Sometimes when people feel anxious or worried, they immediately talk to someone they trust, while others keep it to themselves. If you are feeling anxious or worried, how do you usually respond—do you tend to share it or keep it private? How does that choice usually affect how you feel afterward?
Could you share an example that reflects your typical response.","Sometimes when people feel anxious or worried, they immediately talk to someone they trust, while others keep it to themselves. If you are feeling anxious or worried, how do you usually respond—do you tend to share it or keep it private? How does that choice usually affect how you feel afterward?
Could you share an example that reflects your typical response.",,,16,20.0,20.0,0.57,0.66,"(3.40, 3.90)","(3.31, 3.89)",4.0,4.0,0.74,0.65
F7,F7Q1,2,no,F7Q2,group2,3.5,3.4,,Question,"During times of stress or uncertainty—like waiting for results, facing an unresolved issue, or managing a complex situation—if something is on your mind and you’re unsure how it will turn out, how do you usually feel about sharing it with others? Do you tend to keep it to yourself, or involve someone else? What usually helps you most in those situations?
If you’d like, you can share an example that shows how this usually plays out for you.","During times of stress or uncertainty—like waiting for results, facing an unresolved issue, or managing a complex situation—if something is on your mind and you’re unsure how it will turn out, how do you usually feel about sharing it with others? Do you tend to keep it to yourself, or involve someone else? What usually helps you most in those situations?
If you’d like, you can share an example that shows how this usually plays out for you.",,"- Question 2 might be a bit better.
 - Since there are many descriptions and questions I got confuse about what the actual question is",15,20.0,20.0,0.73,0.67,"(3.08, 3.72)","(3.21, 3.79)",4.0,4.0,0.57,0.64
F8,F8Q3,1,yes,F8Q3,group2,3.55,3.37,Selected by higher relevance mean,Edited Question,"Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others? You can share an example that shows how you usually react in those situations.","Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others?
If you’d like, you can give an example that shows how you usually react in those situations.","Events like weddings, reunions, or even reflecting on old photos can bring up strong feelings for some people, while others stay more neutral. If you are in a symbolic or nostalgic moment with people you care about, how do you usually feel—do you become strongly moved, or stay more neutral? How does it typically affect your sense of closeness or attachment to others? You can share an example that shows how you usually react in those situations.","- So many, ""if you'd likes""",18,19.0,20.0,0.74,0.59,"(3.04, 3.70)","(3.29, 3.81)",4.0,4.0,0.56,0.72
F8,F8Q2,2,no,F8Q3,group2,3.44,3.47,,Question,"When someone important in our life is going away—like moving to a new place, leaving a job, graduating, or even being apart for a long trip—some people feel very emotional, while others don’t react as strongly. If you have to say goodbye to someone close to you, how do you usually feel, and how do you tend to express those feelings?
If you’d like, you can describe a time that reflects your typical way of handling goodbyes.","When someone important in our life is going away—like moving to a new place, leaving a job, graduating, or even being apart for a long trip—some people feel very emotional, while others don’t react as strongly. If you have to say goodbye to someone close to you, how do you usually feel, and how do you tend to express those feelings?
If you’d like, you can describe a time that reflects your typical way of handling goodbyes.",,- Could lead to not as many in-depth answers.,17,19.0,18.0,0.68,0.6,"(3.17, 3.78)","(3.17, 3.72)",4.0,3.5,0.63,0.71
F9,F9Q2,1,yes,F9Q2,group1,3.71,3.67,Selected by higher relevance mean,Edited Question,"After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. When you’ve just been in a group interaction, how often do you think about how you came across to others? How does that usually make you feel about yourself, and does it affect what you say or do afterward? You can share an example that shows how you usually respond.","After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. After a group interaction, how often do you usually reflect on how you came across to others? When you do, how does it typically affect how you feel about yourself, and does it influence what you say or do afterward?
Could you give an example that shows how you usually respond?","After social events—like a conversation, party, or class discussion—some people reflect on how they came across, while others don’t think much about it. When you’ve just been in a group interaction, how often do you think about how you came across to others? How does that usually make you feel about yourself, and does it affect what you say or do afterward? You can share an example that shows how you usually respond.","- The questions are a little too wordy. Maybe rephrase or eliminate information.
 - Although this question can be used to assess self-esteem, I think it better measures self-perception and the looking-glass self theory.
 - I feel like it can get a bit confusing for some people because of how wordy it is.
 - This question I feel like started off with self-esteem but then changed to more self reflection.",20,21.0,21.0,0.78,0.55,"(3.33, 4.00)","(3.48, 3.95)",4.0,4.0,0.52,0.76
F9,F9Q1,2,no,F9Q2,group1,3.67,3.62,,Question,"In social situations—like group projects, team meetings, or informal gatherings—people often get a sense of whether others enjoy being around them. When you are in a group setting—like a class, meeting, or social gathering—how do you usually notice others’ reactions to you? What kinds of impressions do you tend to form, and how does that usually affect how you feel or act in the moment? If you’d like, you can describe an example that shows what is most typical for you.","In social situations—like group projects, team meetings, or informal gatherings—people often get a sense of whether others enjoy being around them. When you are in a group setting—like a class, meeting, or social gathering—how do you usually notice others’ reactions to you? What kinds of impressions do you tend to form, and how does that usually affect how you feel or act in the moment? If you’d like, you can describe an example that shows what is most typical for you.",,"- This could elicit a lot of information.
 - I think this follows along with self-esteem.",19,21.0,21.0,0.79,0.64,"(3.28, 3.95)","(3.39, 3.94)",4.0,4.0,0.51,0.67
F10,F10Q1,1,yes,F10Q1,group1,3.81,3.95,Selected by higher relevance mean,Question,"When meeting someone new—at work, events, or in public—some people start conversations easily, while others feel hesitant. In general, when you meet someone new, how do you usually approach the situation—do you introduce yourself and join in easily, or do you feel more hesitant? How comfortable or nervous do you typically feel, and how does that affect what you do?
If you’d like, you can share an example that reflects your usual approach.","When meeting someone new—at work, events, or in public—some people start conversations easily, while others feel hesitant. In general, when you meet someone new, how do you usually approach the situation—do you introduce yourself and join in easily, or do you feel more hesitant? How comfortable or nervous do you typically feel, and how does that affect what you do?
If you’d like, you can share an example that reflects your usual approach.",,"- Concise, clear, it targets the same feelings and the same purpose. 
 - Give an example of a time...
 - It's relevant to social situations.",21,21.0,21.0,0.21,0.39,"(3.86, 4.04)","(3.64, 3.98)",4.0,4.0,0.96,0.88
F10,F10Q2,2,no,F10Q1,group1,3.67,3.86,,Edited Question,"Many people have had to speak in front of a group—like during a presentation, team meeting, or class discussion. Some feel energized by it, while others feel self-conscious or anxious. In general, when you have to speak up in a group setting, how comfortable or nervous do you usually feel? Does that feeling stay fairly consistent for you, or does it change depending on the situation? You can describe a time that shows how you usually respond.","Many people have had to speak in front of a group—like during a presentation, team meeting, or class discussion. Some feel energized by it, while others feel self-conscious or anxious. In general, when you have to speak up in a group setting, how comfortable or nervous do you usually feel? Does that reaction tend to be typical for you, or does it vary depending on the situation?
If helpful, you can describe a time that shows how you usually respond.","Many people have had to speak in front of a group—like during a presentation, team meeting, or class discussion. Some feel energized by it, while others feel self-conscious or anxious. In general, when you have to speak up in a group setting, how comfortable or nervous do you usually feel? Does that feeling stay fairly consistent for you, or does it change depending on the situation? You can describe a time that shows how you usually respond.","- Targeting different things at once, confused both variables. 
 - It's asking about comfort in a social situations so I think it's relevant.",22,21.0,21.0,0.47,0.71,"(3.66, 4.06)","(3.36, 3.97)",4.0,4.0,0.83,0.59
F11,F11Q1,1,yes,F11Q1,group2,3.5,3.35,Selected by higher relevance mean,Question,"People differ in how much they enjoy casual conversation in everyday situations—like waiting in line, sitting next to someone, or meeting new people. In general, what do you usually do in those situations—do you strike up small talk or prefer to keep to yourself? How do you usually feel about it?
If you’d like, you can share an example that reflects what feels most natural for you.","People differ in how much they enjoy casual conversation in everyday situations—like waiting in line, sitting next to someone, or meeting new people. In general, what do you usually do in those situations—do you strike up small talk or prefer to keep to yourself? How do you usually feel about it?
If you’d like, you can share an example that reflects what feels most natural for you.",,"- Its very clear on how they want to understand how we personally like to socialize.
 - I think this question may vary between genders, as women are less likely to strike up a conversation with strangers for safety reasons, rather than a lack of sociability.",23,20.0,20.0,0.79,0.59,"(3.00, 3.70)","(3.24, 3.76)",4.0,4.0,0.5,0.72
F11,F11Q2,2,no,F11Q1,group2,3.45,3.4,,Question,"Some people enjoy being in settings with lots of interaction—like parties, group hangouts, or busy travel experiences—while others prefer quieter, more solitary environments. In general, when you are in highly social settings, how do you usually experience them—do you enjoy the energy, or do you prefer to find some space for yourself? Do you typically seek out these gatherings, or prefer quieter ways of spending your time?
If helpful, you can describe an example that shows your usual experience.","Some people enjoy being in settings with lots of interaction—like parties, group hangouts, or busy travel experiences—while others prefer quieter, more solitary environments. In general, when you are in highly social settings, how do you usually experience them—do you enjoy the energy, or do you prefer to find some space for yourself? Do you typically seek out these gatherings, or prefer quieter ways of spending your time?
If helpful, you can describe an example that shows your usual experience.",,- It is clear on how they want to know how personally connect with others at parties.,24,20.0,20.0,0.8,0.67,"(3.05, 3.75)","(3.16, 3.74)",4.0,4.0,0.49,0.64
F12,F12Q1,1,yes,F12Q1,group2,3.4,3.6,Relevance tie; selected by higher clarity mean,Question,"People vary in how much energy and enthusiasm they bring to daily life. Some tend to feel upbeat and energized, while others are more low-key or subdued most of the time. In general, thinking about your usual routines—whether at work, school, or in daily life—how would you describe your typical mood and energy level?
If you’d like, you can share an example that illustrates what feels most typical for you.","People vary in how much energy and enthusiasm they bring to daily life. Some tend to feel upbeat and energized, while others are more low-key or subdued most of the time. In general, thinking about your usual routines—whether at work, school, or in daily life—how would you describe your typical mood and energy level?
If you’d like, you can share an example that illustrates what feels most typical for you.",,"- I think the question could improve by inserting another question that will make the reader go into deeper in their responses to gain more insight of their lividness. So adding at least another question such as ""How would your friend or family member describe you in their perspective?"" as an example. 
 - this question, if used for hiring, might get candidates to answer more towards higher liveliness scores in hopes that will improve their chances of getting hired.
 - wouldn't say it is rich in the subject but very straight forward",25,20.0,20.0,0.49,0.66,"(3.39, 3.81)","(3.11, 3.69)",4.0,3.5,0.81,0.65
F12,F12Q2,2,no,F12Q1,group2,3.4,3.55,,Question,"People often have impressions of how energetic or lively someone seems in daily life. In general, thinking about your own everyday behavior—whether in social settings, at work, or in casual interactions—how do you think your usual energy and enthusiasm come across to others? How does reflecting on this make you feel, and how do you think your behavior reflects your level of liveliness?
You may include an example if it helps show your typical style.","People often have impressions of how energetic or lively someone seems in daily life. In general, thinking about your own everyday behavior—whether in social settings, at work, or in casual interactions—how do you think your usual energy and enthusiasm come across to others? How does reflecting on this make you feel, and how do you think your behavior reflects your level of liveliness?
You may include an example if it helps show your typical style.",,"- question reads more like the physical energy they actually display throughout the day instead of their interpretation of others views of their liveliness. 
 - This may vary across genders.",26,20.0,20.0,0.5,0.8,"(3.33, 3.77)","(3.05, 3.75)",4.0,4.0,0.8,0.49
F13,F13Q1,1,yes,F13Q1,group1,3.86,3.9,Selected by higher relevance mean,Question,"Sometimes people hurt or disappoint us—like a friend letting us down, a colleague taking credit, or someone speaking behind our back. In general, when someone hurts or disappoints you like this, how do you usually respond? Are you more likely to forgive the person and rebuild the relationship, or to hold on to the hurt? What usually influences your decision?
If you’d like, you can share an example that reflects what’s most typical for you.","Sometimes people hurt or disappoint us—like a friend letting us down, a colleague taking credit, or someone speaking behind our back. In general, when someone hurts or disappoints you like this, how do you usually respond? Are you more likely to forgive the person and rebuild the relationship, or to hold on to the hurt? What usually influences your decision?
If you’d like, you can share an example that reflects what’s most typical for you.",,"- I just think it is adding too many questions in one; we should break it down to be more direct and clear, to get exactly the answer you need to get. This is more like a double-barreled question, and that could be confusing or overwhelming. 
 - I think it's relevant to forgiveness. 
 - I would move the examples to right after prompting them to share a personal experience in order to get more of a recency effect",27,21.0,21.0,0.29,0.35,"(3.78, 4.03)","(3.71, 4.01)",4.0,4.0,0.93,0.9
F13,F13Q2,2,no,F13Q1,group1,3.81,3.81,,Question,"Sometimes, people who’ve treated us badly—by lying, excluding us, or acting unfairly—later try to reconnect or be friendly again. In general, when that happens, how do you usually respond—are you willing to forgive and allow yourself to reconnect, or do you tend to hold back trust? What kinds of thoughts and feelings usually shape your response?
If helpful, you can describe an example that shows your typical approach.","Sometimes, people who’ve treated us badly—by lying, excluding us, or acting unfairly—later try to reconnect or be friendly again. In general, when that happens, how do you usually respond—are you willing to forgive and allow yourself to reconnect, or do you tend to hold back trust? What kinds of thoughts and feelings usually shape your response?
If helpful, you can describe an example that shows your typical approach.",,"- question is a bit clunky. took me a couple rereads to fully understand
 - Once again, I feel like this is one way more concise and direct, but asking two questions in one could make the reader shift focus and concentrate on one answer, not targeting the entire question. 
 - I think this also deals with forgiveness. 
 - Structure of first sentence was confusing with the use of dash (-). I think using “such as instances when …” or “for example when …”",28,21.0,21.0,0.39,0.39,"(3.64, 3.98)","(3.64, 3.98)",4.0,4.0,0.88,0.88
F14,F14Q1,1,yes,F14Q1,group1,3.62,3.62,Selected by higher relevance mean,Question,"In everyday interactions, people sometimes make mistakes or fall short. In general, when you notice this, how do you usually react—do you tend to be more critical, or more understanding? What do you typically do in response?
If you’d like, you can share an example that shows what feels most typical for you.","In everyday interactions, people sometimes make mistakes or fall short. In general, when you notice this, how do you usually react—do you tend to be more critical, or more understanding? What do you typically do in response?
If you’d like, you can share an example that shows what feels most typical for you.",,"- I would say “when you notice this about yourself” so it’s clear who it’s asking about.
 - What would you do in response?  will elicit info.",29,21.0,21.0,0.72,0.65,"(3.31, 3.93)","(3.34, 3.90)",4.0,4.0,0.58,0.66
F14,F14Q2,2,no,F14Q1,group1,3.43,3.67,,Edited Question,"Sometimes we encounter behaviors or attitudes in others that bother us—like the way they speak, react, or carry themselves. In general, when this happens, how do you usually feel—annoyed and critical, or tolerant and understanding? And how do you usually respond in those moments?
If it helps, you can describe an example that reflects your usual approach.","Sometimes we encounter behaviors or attitudes in others that bother us—like the way they speak, react, or carry themselves. In general, when this happens, how do you usually feel—annoyed and critical, or tolerant and gentle? And how do you usually respond in those moments?
If it helps, you can describe an example that reflects your usual approach.","Sometimes we encounter behaviors or attitudes in others that bother us—like the way they speak, react, or carry themselves. In general, when this happens, how do you usually feel—annoyed and critical, or tolerant and understanding? And how do you usually respond in those moments?
If it helps, you can describe an example that reflects your usual approach.","- I think this is more about emotions in general. 
 - I think the use of the word “gentle” is a little too on the nose",30,21.0,21.0,0.78,0.85,"(3.33, 4.00)","(3.07, 3.79)",4.0,4.0,0.52,0.42
F15,F15Q3,1,yes,F15Q3,group2,3.55,3.65,Selected by higher relevance mean,Question,"In group decisions—like making plans or agreeing on how to do something—people sometimes have strong preferences for their own way of doing things. In general, when your preference is different from others’, how do you usually respond—do you hold firm to your way, or are you more willing to go along with the group?
You might describe a situation that reflects how you usually handle this.","In group decisions—like making plans or agreeing on how to do something—people sometimes have strong preferences for their own way of doing things. In general, when your preference is different from others’, how do you usually respond—do you hold firm to your way, or are you more willing to go along with the group?
You might describe a situation that reflects how you usually handle this.",,"- Same feedback as question 1.
 - Both questions could benefit from a slight prompt asking specifically about emotions or thoughts during these moments to deepen insight.
 - I thought the question might have more to do with clarity and creativity than flexibility",32,20.0,20.0,0.65,0.67,"(3.36, 3.94)","(3.26, 3.84)",4.0,4.0,0.66,0.64
